,min,mean,max
biomass,0.05,3.067232145301087,4.995551695879455
RGR,-0.00030523100375370773,0.012408084931053555,0.17750334709244045
CO2,319.80632944232707,353.3654207359557,400.0
air_temp,20.0,20.0,20.0
relative_humidity,70.0,70.0,70.0
