0.04,0.5000,seedling,60.00,25.00,400.01,0.001500, 0.0028, 0.000000
0.54,0.5452,seedling,59.00,24.50,987.57,0.001500, 0.0029, 0.000000
1.04,0.6016,seedling,59.00,24.50,931.46,0.001500, 0.0029, 0.000000
1.54,0.6492,seedling,58.10,24.05,987.56,0.001500, 0.0029, 0.000000
2.04,0.7084,seedling,58.10,24.05,931.46,0.001500, 0.0028, 0.000000
2.54,0.7580,seedling,57.29,23.64,987.55,0.001500, 0.0028, 0.000000
3.04,0.8195,seedling,57.29,23.64,931.47,0.001500, 0.0028, 0.000000
3.54,0.8707,seedling,56.56,23.28,987.55,0.001500, 0.0028, 0.000000
4.04,0.9340,seedling,56.56,23.28,931.47,0.001500, 0.0027, 0.006791
4.54,0.9825,seedling,55.90,22.95,987.55,0.001500, 0.0027, 0.033508
5.04,1.0767,vegetative,55.90,22.95,931.38,0.001500, 0.0027, 0.072562
5.54,1.1657,vegetative,55.31,22.66,987.10,0.001500, 0.0030, 0.079260
6.04,1.2822,vegetative,55.31,22.66,931.39,0.001500, 0.0031, 0.055852
6.54,1.3839,vegetative,54.78,22.39,987.06,0.001500, 0.0034, 0.049326
7.04,1.5141,vegetative,54.78,22.39,931.40,0.001500, 0.0035, 0.034413
7.54,1.6283,vegetative,54.30,22.15,987.02,0.001500, 0.0038, 0.023704
8.04,1.7729,vegetative,54.30,22.15,931.41,0.001500, 0.0039, 0.016538
8.54,1.8956,vegetative,53.87,21.94,987.00,0.001500, 0.0043, 0.011538
9.04,2.0501,vegetative,53.87,21.94,931.42,0.001500, 0.0044, 0.008050
9.54,2.1790,vegetative,53.49,21.74,986.98,0.001500, 0.0048, 0.005507
10.04,2.3407,vegetative,53.49,21.74,931.43,0.001500, 0.0048, 0.003842
10.54,2.4738,vegetative,53.14,21.57,986.97,0.001500, 0.0052, 0.003666
11.04,2.6405,vegetative,53.14,21.57,931.45,0.001500, 0.0051, 0.002558
11.54,2.7765,vegetative,52.82,21.41,986.97,0.001500, 0.0055, 0.004324
12.04,2.9466,vegetative,52.82,21.41,931.47,0.001500, 0.0054, 0.003017
12.54,3.0843,vegetative,52.54,21.27,986.97,0.001500, 0.0059, 0.006374
13.04,3.2569,vegetative,52.54,21.27,931.48,0.001500, 0.0057, 0.004447
13.54,3.3957,vegetative,52.29,21.14,986.97,0.001500, 0.0062, 0.009372
14.04,3.5703,vegetative,52.29,21.14,931.50,0.001500, 0.0060, 0.006751
14.54,4.2843,vegetative,52.06,21.03,986.94,0.001500, 0.0070, 0.013014
15.04,5.2851,vegetative,52.06,21.03,931.59,0.000234, 0.0083, 0.009079
15.54,6.3748,vegetative,51.85,20.93,986.84,0.044345, 0.0093, 0.006335
16.04,7.8803,vegetative,51.85,20.93,931.71,0.000306, 0.0110, 0.004419
16.54,9.3974,vegetative,51.67,20.83,986.74,0.041855, 0.0123, 0.003483
17.04,11.4312,vegetative,51.67,20.83,931.90,0.000366, 0.0144, 0.002430
17.54,13.0945,vegetative,51.50,20.75,986.69,0.033047, 0.0160, 0.008919
18.04,15.1480,vegetative,51.50,20.75,932.12,-0.000457, 0.0178, 0.009254
18.54,16.6768,vegetative,51.35,20.68,986.68,0.025376, 0.0219, 0.025048
19.04,18.6740,vegetative,51.35,20.68,932.31,-0.000460, 0.0237, 0.017475
19.54,20.2846,vegetative,51.22,20.61,986.64,0.022323, 0.0256, 0.015259
20.04,22.3732,vegetative,51.22,20.61,932.51,-0.000458, 0.0270, 0.010951
20.54,23.9592,vegetative,51.09,20.55,986.62,0.019113, 0.0343, 0.019116
21.04,26.0210,vegetative,51.09,20.55,932.71,-0.000456, 0.0301, 0.013337
21.54,27.4992,vegetative,50.98,20.49,986.63,0.016130, 0.0390, 0.031820
22.04,29.4479,vegetative,50.98,20.49,932.91,-0.000448, 0.0329, 0.022200
22.54,30.8569,vegetative,50.89,20.44,986.64,0.014138, 0.0435, 0.037779
23.04,32.7634,vegetative,50.89,20.44,933.09,-0.000433, 0.0353, 0.025859
23.54,34.1738,vegetative,50.80,20.40,986.61,0.013050, 0.0480, 0.038468
24.04,36.0964,vegetative,50.80,20.40,933.27,-0.000418, 0.0376, 0.027838
24.54,37.5266,vegetative,50.72,20.36,986.59,0.012245, 0.0524, 0.036225
25.04,39.4822,vegetative,50.72,20.36,933.45,-0.000405, 0.0398, 0.027971
25.54,40.9482,vegetative,50.65,20.32,986.57,0.011655, 0.0570, 0.031451
26.04,42.9543,vegetative,50.65,20.32,933.64,-0.000391, 0.0418, 0.027500
26.54,44.3922,vegetative,50.58,20.29,986.55,0.010799, 0.0616, 0.034873
27.04,46.3738,vegetative,50.58,20.29,933.82,-0.000380, 0.0437, 0.033963
27.54,47.8320,vegetative,50.52,20.26,986.54,0.010317, 0.0662, 0.031469
28.04,49.8426,vegetative,50.52,20.26,934.01,-0.000368, 0.0455, 0.035934
28.54,51.2653,flowering,50.47,20.24,986.54,0.009579, 0.0708, 0.033340
29.04,53.1776,flowering,50.47,20.24,934.20,-0.000359, 0.0470, 0.042559
29.54,54.4969,flowering,50.42,20.21,986.59,0.008659, 0.0751, 0.034348
